x0,y0,z0,P
   -0.032408 ,   4.7608e-05 ,  -3.2406e-05 ,         0.13
   0.0023955 ,   3.8702e-05 ,  -4.9513e-06 ,         0.28
 -0.00075727 ,  -5.4694e-05 ,   2.2105e-05 ,         0.53
   -0.026458 ,   2.6718e-05 ,   2.2422e-05 ,         0.29
   -0.028609 ,  -4.7626e-06 ,   9.3909e-05 ,         0.02
   -0.023949 ,  -2.5792e-05 ,    1.666e-05 ,         0.44
   0.0014781 ,  -7.9798e-05 ,  -5.4154e-05 ,         0.96
   0.0011091 ,   -4.842e-06 ,   6.2982e-05 ,         0.58
   -0.011466 ,  -1.7382e-05 ,   -1.311e-05 ,         0.67
   -0.011409 ,  -1.4118e-05 ,  -5.6784e-05 ,          0.7
   -0.025699 ,   1.5149e-05 ,    8.444e-05 ,         0.05
  -0.0050433 ,   6.5965e-05 ,   5.9962e-05 ,         0.96
  -0.0001871 ,   -2.134e-05 ,   7.0666e-05 ,         0.72
   -0.017921 ,  -3.4695e-05 ,   7.5223e-05 ,         0.14
   -0.017689 ,  -8.4003e-05 ,   4.3357e-05 ,         0.04
   -0.016717 ,  -2.3379e-05 ,  -1.1553e-06 ,         0.64
   -0.026048 ,    4.734e-05 ,   2.8205e-05 ,         0.24
  -0.0062312 ,  -1.6839e-06 ,   2.1426e-05 ,         0.57
   0.0051832 ,    1.393e-05 ,  -4.1961e-05 ,          0.2
   0.0054263 ,   8.3436e-05 ,   1.5493e-05 ,         0.86
  -0.0026402 ,   7.6608e-05 ,  -3.6725e-05 ,         0.89
   -0.026974 ,  -1.1549e-05 ,  -9.2976e-05 ,         0.03
  -0.0055181 ,  -7.6122e-05 ,   5.4575e-06 ,         0.82
   -0.033408 ,  -2.3416e-05 ,  -1.2592e-05 ,         0.32
   -0.033825 ,    7.667e-06 ,   9.5753e-05 ,         0.01
   -0.030455 ,   -8.649e-05 ,   2.2875e-05 ,         0.05
   -0.032713 ,   5.2042e-05 ,  -1.2291e-05 ,         0.16
   -0.010748 ,  -7.0568e-05 ,  -2.1373e-05 ,         0.65
   -0.036332 ,  -9.8362e-05 ,   -1.314e-05 ,            0
   0.0011163 ,   9.7616e-06 ,   8.4033e-05 ,         0.89
  -0.0038549 ,  -9.1373e-05 ,   6.3843e-06 ,         0.93
   0.0062929 ,  -4.6818e-05 ,  -4.6268e-05 ,         0.42
   -0.015368 ,  -2.9546e-05 ,  -6.1913e-05 ,         0.38
  -0.0072559 ,  -5.9316e-05 ,   4.5703e-05 ,         0.89
   0.0045062 ,  -3.4897e-05 ,   3.8382e-05 ,         0.38
   -0.013074 ,   8.6299e-05 ,   -6.529e-06 ,         0.14
    -0.02589 ,   6.8999e-05 ,   1.6675e-05 ,         0.13
   0.0087979 ,   6.0383e-05 ,  -5.3122e-05 ,         0.53
   -0.038179 ,   4.7443e-05 ,  -2.8751e-05 ,         0.11
   -0.023688 ,   1.0657e-05 ,  -3.5689e-05 ,         0.29
   0.0086507 ,   5.6117e-05 ,   4.0082e-05 ,         0.26
   -0.021748 ,  -4.4864e-06 ,   6.0037e-05 ,         0.28
   -0.024543 ,  -4.5362e-05 ,   7.6312e-05 ,         0.03
   -0.033954 ,  -3.7748e-05 ,  -7.9863e-05 ,         0.02
   0.0057883 ,    5.347e-05 ,   6.1856e-05 ,         0.73
   -0.033226 ,  -6.5696e-06 ,  -3.5943e-05 ,         0.18
   -0.023394 ,   1.1501e-05 ,   9.1265e-06 ,         0.42
    0.004874 ,  -4.2538e-05 ,  -6.1554e-05 ,         0.67
   -0.015018 ,   -5.481e-05 ,   2.0073e-06 ,          0.5
  -0.0092356 ,   1.7594e-05 ,  -9.5313e-05 ,         0.99
   -0.010843 ,  -2.1583e-05 ,   -9.666e-05 ,         0.02
  -0.0050873 ,   4.4036e-05 ,  -3.0447e-05 ,         0.65
   -0.038533 ,   6.9282e-05 ,  -5.6642e-05 ,         0.03
   -0.013606 ,  -4.7758e-05 ,   8.1733e-05 ,         0.03
   -0.038396 ,  -2.4466e-05 ,  -7.3326e-05 ,         0.04
   0.0013571 ,   3.0282e-05 ,   8.9012e-05 ,         0.95
   -0.023001 ,   9.5363e-05 ,   1.8528e-05 ,         0.01
   0.0023355 ,  -2.7585e-06 ,  -7.4054e-05 ,         0.69
   -0.027697 ,  -8.5346e-05 ,  -1.2031e-08 ,         0.05
   -0.010925 ,  -7.5341e-05 ,   9.5552e-06 ,         0.55
   0.0068838 ,   1.3284e-05 ,  -9.0616e-06 ,            0
   -0.037611 ,  -5.1524e-05 ,  -4.2551e-05 ,         0.06
   -0.037301 ,  -5.9404e-05 ,  -5.4168e-05 ,         0.02
   -0.038969 ,   4.5823e-05 ,  -5.5788e-05 ,         0.05
  -0.0059261 ,   2.0845e-05 ,  -5.7346e-05 ,         0.76
   -0.010069 ,  -8.5774e-05 ,  -4.4879e-05 ,         0.28
   -0.034298 ,    3.726e-05 ,   8.3109e-05 ,         0.03
 -0.00018773 ,   5.8252e-06 ,   9.1962e-05 ,         0.92
  -0.0091075 ,   4.6165e-05 ,  -3.9927e-05 ,         0.74
   -0.036489 ,   7.5772e-05 ,   1.3801e-05 ,         0.05
   -0.036536 ,  -9.3223e-05 ,   5.9231e-06 ,         0.01
     -0.0332 ,   4.7645e-05 ,   8.4054e-05 ,            0
 -0.00055543 ,   8.1027e-05 ,  -1.0919e-05 ,         0.84
    -0.03538 ,  -1.0561e-05 ,  -4.4229e-05 ,         0.11
   -0.028107 ,  -8.0861e-05 ,  -2.3962e-07 ,         0.04
   -0.027818 ,  -2.6401e-05 ,   4.8493e-06 ,         0.24
   -0.034759 ,   5.9353e-05 ,   2.3335e-05 ,          0.1
   0.0029176 ,  -3.3853e-05 ,  -7.4319e-05 ,         0.84
    -0.00509 ,   9.3216e-05 ,   2.5458e-05 ,         0.97
  -0.0033129 ,   8.1131e-05 ,   3.9081e-05 ,         0.94
  -0.0074735 ,  -6.8966e-05 ,  -9.4398e-06 ,         0.82
   -0.014186 ,   7.1413e-05 ,   4.9676e-05 ,         0.19
   -0.023681 ,   2.6815e-05 ,  -5.8749e-05 ,         0.23
  -0.0069112 ,   4.0593e-05 ,  -8.9833e-05 ,            1
   -0.034122 ,  -1.7126e-05 ,   -9.791e-05 ,            0
   -0.032609 ,   5.4704e-05 ,    7.516e-05 ,         0.01
   -0.039012 ,  -3.3545e-05 ,   -5.257e-05 ,         0.07
   0.0082146 ,  -6.6975e-05 ,  -7.8608e-06 ,         0.23
   0.0085186 ,   4.8953e-05 ,  -8.3934e-06 ,         0.06
   -0.033807 ,  -5.2512e-05 ,  -7.1321e-05 ,         0.01
   -0.016629 ,   2.9221e-05 ,    -8.93e-05 ,         0.04
  -0.0071653 ,  -9.1589e-05 ,   2.7361e-05 ,         0.99
   -0.025491 ,  -6.8078e-05 ,   3.0794e-05 ,         0.08
  -0.0022732 ,   3.5269e-05 ,  -6.8883e-05 ,         0.85
   -0.012094 ,   3.3399e-05 ,   1.9321e-05 ,         0.62
    -0.01861 ,   6.3541e-05 ,   7.0425e-05 ,         0.04
    -0.02664 ,   3.1072e-05 ,   5.9485e-05 ,          0.1
  -0.0023132 ,  -3.5113e-05 ,   2.8701e-05 ,         0.58
   0.0049188 ,   4.6413e-05 ,  -8.2718e-05 ,         0.95
  -0.0035778 ,   2.8735e-05 ,  -8.2463e-05 ,         0.92
   -0.019658 ,   8.7241e-05 ,    3.484e-05 ,         0.04
   0.0069158 ,  -4.3039e-05 ,   3.1577e-05 ,          0.3
   -0.027229 ,  -8.0883e-05 ,   -1.379e-05 ,         0.09
   -0.013342 ,  -7.0618e-05 ,   4.0693e-05 ,         0.17
   0.0077377 ,  -1.9358e-05 ,  -2.9213e-05 ,         0.03
   -0.026613 ,  -4.4278e-05 ,  -4.5964e-05 ,         0.18
   -0.027496 ,  -1.3681e-05 ,   5.0653e-05 ,         0.22
   0.0063836 ,  -7.6969e-05 ,   3.5248e-05 ,         0.75
   -0.036571 ,   5.2982e-05 ,   5.1719e-06 ,         0.12
    -0.02503 ,   9.4194e-05 ,  -9.4633e-06 ,            0
   -0.010421 ,    4.521e-05 ,   7.8879e-05 ,         0.28
