x0,P
   -0.027109 ,          0.34
   -0.028961 ,           0.4
   -0.028279 ,           0.3
   -0.029246 ,          0.48
   -0.028394 ,           0.2
   -0.028716 ,          0.35
   -0.028277 ,          0.28
    -0.02853 ,           0.3
   -0.026385 ,           0.3
   -0.025486 ,          0.26
   -0.028474 ,          0.24
   -0.029751 ,          0.27
   -0.027194 ,          0.35
   -0.028828 ,           0.3
   -0.025934 ,          0.53
   -0.027228 ,           0.2
   -0.028547 ,           0.2
    -0.02638 ,          0.28
   -0.028275 ,          0.28
   -0.025595 ,          0.33
   -0.029799 ,          0.26
   -0.027926 ,          0.32
   -0.028756 ,          0.38
    -0.02753 ,          0.26
   -0.029455 ,          0.36
   -0.027736 ,          0.33
   -0.025746 ,          0.44
   -0.029204 ,          0.36
   -0.029071 ,          0.21
   -0.029646 ,          0.26
   -0.025983 ,          0.42
    -0.02808 ,           0.3
   -0.026758 ,          0.37
   -0.027926 ,          0.22
   -0.029586 ,          0.24
   -0.028786 ,          0.17
   -0.026902 ,          0.42
   -0.025379 ,          0.47
   -0.027654 ,          0.38
    -0.02967 ,          0.34
   -0.027844 ,          0.32
    -0.02506 ,          0.32
   -0.025811 ,          0.
   -0.030942 ,          0.25
   -0.030866 ,          0.34
   -0.039025 ,          0.22
   -0.034531 ,          0.24
   -0.030351 ,          0.36
   -0.030294 ,          0.36
   -0.035146 ,          0.23
   -0.038581 ,          0.14
   -0.030843 ,          0.26
   -0.030405 ,          0.27
   -0.039643 ,          0.12
    -0.03066 ,          0.21
   -0.032423 ,           0.2
   -0.036078 ,           0.2
   -0.038288 ,          0.16
   -0.039682 ,           0.2
   -0.039538 ,          0.18
   -0.031765 ,           0.2
   -0.036829 ,          0.24
   -0.039656 ,          0.18
   -0.036184 ,          0.18
   -0.032048 ,           0.2
   -0.035102 ,          0.24
   -0.033537 ,          0.26
   -0.032453 ,          0.22
   -0.033203 ,          0.26
   -0.038374 ,          0.16
   -0.035016 ,          0.24
   -0.036596 ,          0.22
   -0.037762 ,          0.18
   -0.037449 ,          0.18
   -0.033009 ,          0.23
   -0.030407 ,          0.18
   -0.038614 ,          0.14
   -0.037425 ,          0.12
   -0.037457 ,          0.14
   -0.037565 ,           0.2
     -0.0365 ,          0.25
   -0.037489 ,          0.14
   -0.035267 ,          0.19
   -0.031692 ,          0.17
   -0.034503 ,          0.29
   -0.037142 ,          0.14
   -0.032463 ,          0.26
   -0.034322 ,          0.11
    -0.03946 ,          0.12
   -0.032208 ,          0.36
   -0.038701 ,          0.14
   -0.035306 ,          0.18
